ex_client;nom;ex_adr1_tiers_facture;adresse;ex_adr2_tiers_facture;cp;ville;ex_ville;departement;localisation;concat_localisation;latitude;longitude;adresse_concat;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_dept;result_citycode
NGUYENPARI;LA GOURMANDINE;L AMI DU PAIN;221, Rue de Tolbiac;221 RUE DE TOLBIAC;75013;Paris;PARIS;75, Paris, Île-de-France;48.825724, 2.345948;48.825724, 2.345948;48.825724;2.345948;221, Rue de Tolbiac;221 Rue de Tolbiac 75013 Paris;0.95;housenumber;ADRNIVX_0000000270822081;221;Rue de Tolbiac;;75013.0;Paris;75, Paris, Île-de-France;75113.0
THOMASBOU;LA GOURMANDISE;LA GOURMANDISE;4, Rue Charpentier;4 RUE CHARPENTIER;92340;Bourg-la-Reine;BOURG LA REINE;92, Hauts-de-Seine, Île-de-France;48.776946, 2.323504;48.776946, 2.323504;48.776946;2.323504;4, Rue Charpentier;4 Rue Charpentier 92340 Bourg-la-Reine;0.92;housenumber;ADRNIVX_0000000287218950;4;Rue Charpentier;;92340.0;Bourg-la-Reine;92, Hauts-de-Seine, Île-de-France;92014.0
CARONS;LJ 12 3 2018 - MAISON CARON S;MAISON CARON S;1, Rue Léon Pelouse;1 RUE LEON PELOUSE;95480;Pierrelaye;PIERRELAYE;95, Val-d'Oise, Île-de-France;49.023377, 2.154279;49.023377, 2.154279;49.023377;2.154279;1, Rue Léon Pelouse;1 Rue Léon Pelouse 95480 Pierrelaye;0.91;housenumber;ADRNIVX_0000000350566356;1;Rue Léon Pelouse;;95480.0;Pierrelaye;95, Val-d'Oise, Île-de-France;95488.0
ROBINJEREM;CHLOE ET MATHIS;CHLOE ET MATHIS;57, Rue du Maréchal Foch;57 RUE DU MARECHAL FOCH;78250;Meulan-en-Yvelines;MEULAN;78, Yvelines, Île-de-France;49.005379, 1.907676;49.005379, 1.907676;49.005379;1.907676;57, Rue du Maréchal Foch;57 Rue du Maréchal Foch 78250 Meulan-en-Yvelines;0.74;housenumber;ADRNIVX_0000000269311224;57;Rue du Maréchal Foch;;78250.0;Meulan-en-Yvelines;78, Yvelines, Île-de-France;78401.0
SAVEURSDEM;LES SAVEURS DE PIERRE DEMOURS;LES SAVEURS DE PIERRE DEMOURS;13, Rue Pierre Demours;13 RUE PIERRE DEMOURS;75017;Paris;PARIS;75, Paris, Île-de-France;48.880505, 2.292836;48.880505, 2.292836;48.880505;2.292836;13, Rue Pierre Demours;13 Rue Pierre Demours 75017 Paris;0.95;housenumber;ADRNIVX_0000000270729718;13;Rue Pierre Demours;;75017.0;Paris;75, Paris, Île-de-France;75117.0
MESNILST;LE CASTEL BLANGEOIS;;162, Avenue Ledru-Rollin;162 AVENUE LEDRU ROLLIN;75011;Paris;PARIS;75, Paris, Île-de-France;48.856276, 2.379198;48.856276, 2.379198;48.856276;2.379198;162, Avenue Ledru-Rollin;162 Avenue Ledru-Rollin 75011 Paris;0.95;housenumber;ADRNIVX_0000000270774830;162;Avenue Ledru-Rollin;;75011.0;Paris;75, Paris, Île-de-France;75111.0
KERCHAOUI;LA MAISON KERCK;LA MAISON KERCK;76, Rue Saint-Maur;76 RUE SAINT MAUR;75011;Paris;PARIS;75, Paris, Île-de-France;48.864064, 2.3785600000000002;48.864064, 2.37856;48.864064;2.37856;76, Rue Saint-Maur;76 Rue Saint-Maur 75011 Paris;0.95;housenumber;ADRNIVX_0000000270761344;76;Rue Saint-Maur;;75011.0;Paris;75, Paris, Île-de-France;75111.0
LEPOT;LEPOT JEAN-CHRISTOPHE;;23, Rue Daval;23 RUE DAVAL;75011;Paris;PARIS;75, Paris, Île-de-France;48.854516, 2.371288;48.854516, 2.371288;48.854516;2.371288;23, Rue Daval;23 Rue Daval 75011 Paris;0.94;housenumber;ADRNIVX_0000000270778431;23;Rue Daval;;75011.0;Paris;75, Paris, Île-de-France;75111.0
LEROYJACQ;AU DELICE BRIARD;AU DELICE BRIARD;Rue de la Pêcherie;14 16 RUE DE LA PECHERIE;77120;Coulommiers;COULOMMIERS;77, Seine-et-Marne, Île-de-France;48.812471, 3.083324;48.812471, 3.083324;48.812471;3.083324;Rue de la Pêcherie;Rue de la Pêcherie 77120 Coulommiers;0.79;street;77131_0730_4c1539;;Rue de la Pêcherie;;77120.0;Coulommiers;77, Seine-et-Marne, Île-de-France;77131.0
SHAIMI;MAISON SHAIMI;MAISON SHAIMI;11, Rue Auguste Blanche;11 RUE AUGUSTE BLANCHE;92800;Puteaux;PUTEAUX;92, Hauts-de-Seine, Île-de-France;48.879284, 2.240352;48.879284, 2.240352;48.879284;2.240352;11, Rue Auguste Blanche;11 Rue Auguste Blanche 92800 Puteaux;0.93;housenumber;ADRNIVX_0000000287132486;11;Rue Auguste Blanche;;92800.0;Puteaux;92, Hauts-de-Seine, Île-de-France;92062.0
BOULALFORT;BOULANGERIE DE LA GARE;BOULANGERIE DE LA GARE;4, Place de la Gare;2-4 PLACE DE LA GARE;94140;Alfortville;ALFORTVILLE;94, Val-de-Marne, Île-de-France;48.801686, 2.426148;48.801686, 2.426148;48.801686;2.426148;4, Place de la Gare;4 Place de la Gare 94140 Alfortville;0.87;housenumber;ADRNIVX_0000000358882086;4;Place de la Gare;;94140.0;Alfortville;94, Val-de-Marne, Île-de-France;94002.0
TIBLE2;LES DELICES DE LA VILLETTE;BOULANGERIE DE LA VILLETTE;224, Boulevard de la Villette;224 BD DE LA VILLETTE;75019;Paris;PARIS;75, Paris, Île-de-France;48.884436, 2.366764;48.884436, 2.366764;48.884436;2.366764;224, Boulevard de la Villette;224 Boulevard de la Villette 75019 Paris;0.75;housenumber;ADRNIVX_0000000270722580;224;Boulevard de la Villette;;75019.0;Paris;75, Paris, Île-de-France;75119.0
EVA;EVA;EVA;3, Place du 25 Août 1944;03 PLACE DU 25 AOUT 1944;75014;Paris;PARIS;75, Paris, Île-de-France;48.822478, 2.325846;48.822478, 2.325846;48.822478;2.325846;3, Place du 25 Août 1944;3 Place du 25 Août 1944 75014 Paris;0.91;housenumber;ADRNIVX_0000000270825370;3;Place du 25 Août 1944;;75014.0;Paris;75, Paris, Île-de-France;75114.0
GENDRON;CHEZ MADELEINE;CHEZ MADELEINE;12, Avenue d'Argenteuil;12 AVENUE D ARGENTEUIL;92600;Asnières-sur-Seine;ASNIERES SUR SEINE;92, Hauts-de-Seine, Île-de-France;48.910373, 2.286009;48.910373, 2.286009;48.910373;2.286009;12, Avenue d'Argenteuil;12 Avenue d'Argenteuil 92600 Asnières-sur-Seine;0.93;housenumber;ADRNIVX_0000000287098777;12;Avenue d'Argenteuil;;92600.0;Asnières-sur-Seine;92, Hauts-de-Seine, Île-de-France;92004.0
LORILLARD2;LA BOULANGERIE DE JEANNE;LA BOULANGERIE DE JEANNE;109, Avenue Ledru-Rollin;109 RUE LEDRU ROLLIN;75011;Paris;PARIS;75, Paris, Île-de-France;48.852819, 2.376844;48.852819, 2.376844;48.852819;2.376844;109, Avenue Ledru-Rollin;109 Avenue Ledru-Rollin 75011 Paris;0.77;housenumber;ADRNIVX_0000000270781999;109;Avenue Ledru-Rollin;;75011.0;Paris;75, Paris, Île-de-France;75111.0
LACHHAB2;L ATELIER D AULNAY;L ATELIER D AULNAY;12 Bis, Route de Bondy;12 BIS RUE DE BONDY;93600;Aulnay-sous-Bois;AULNAY SOUS BOIS;93, Seine-Saint-Denis, Île-de-France;48.931007, 2.493556;48.931007, 2.493556;48.931007;2.493556;12 BIS, Route de Bondy;12 BIS Route de Bondy 93600 Aulnay-sous-Bois;0.81;housenumber;ADRNIVX_0000000268184898;12 BIS;Route de Bondy;;93600.0;Aulnay-sous-Bois;93, Seine-Saint-Denis, Île-de-France;93005.0
GIRAUDJM;BOULANGERIE GIRAUD;BOULANGERIE GIRAUD;34, Avenue Marcel Hirbec;34 AVENUE MARCEL HIRBEC;78390;Bois-d'Arcy;BOIS D ARCY;78, Yvelines, Île-de-France;48.803099, 2.040551;48.803099, 2.040551;48.803099;2.040551;34, Avenue Marcel Hirbec;34 Avenue Marcel Hirbec 78390 Bois-d'Arcy;0.92;housenumber;ADRNIVX_0000000269539972;34;Avenue Marcel Hirbec;;78390.0;Bois-d'Arcy;78, Yvelines, Île-de-France;78073.0
